"","V1","value"
"173","derülátó",1
"174","derûlátó",1
"175","derült",1
"176","derûs",1
"177","diadal",1
"178","diadalmas",1
"179","diadalmasan",1
"180","dicsér",1
"181","dicséret",1
"182","dicséretes",1
"183","dicsérte",1
"184","dicsõ",1
"185","dicsõít",1
"186","dicsõítsék",1
"187","dicsõség",1
"188","dicsõségesen",1
"189","díjtalan",1
"190","dinamikus",1
"191","dinamizmus",1
"192","diplomatikus",1
"193","diszkrét",1
"194","divatos",1
"195","divatosan",1
"196","dolgos",1
"197","donáció",1
"198","dotáció",1
"199","dögös",1
"200","drukkolás",1
"201","dús",1
"202","dúsgazdag",1
"203","dúskál",1
"204","éberség",1
"205","éden",1
"206","édeni",1
"207","édenkert",1
"208","effektív",1
"209","egészséges",1
"210","egetrengetõ",1
"211","egybehangol",1
"212","egyenletes",1
"213","egyenletesen",1
"214","egyenlõen",1
"215","egyensúly",1
"216","egyértelmû",1
"217","egyértelmûen",1
"218","egyesít",1
"219","egyetértés",1
"220","egységesség",1
"221","együttérzés",1
"222","együttérzõ",1
"223","ékesít",1
"224","ékesszólás",1
"225","ékesszóló",1
"226","ékesszólóan",1
"227","ékít",1
"228","eksztázis",1
"229","elán",1
"230","elbûvöl",1
"231","elbûvölõ",1
"232","elbûvölõen",1
"233","elbûvölt",1
"234","elegancia",1
"235","elegáns",1
"236","elegánsan",1
"237","elégedett",1
"238","elégedettek",1
"239","elegendõ",1
"240","élelmes",1
"241","élénk",1
"242","elérhetõ",1
"243","éleslátással",1
"244","éleslátó",1
"245","életerõ",1
"246","életerõs",1
"247","életkedv",1
"248","életmentõ",1
"249","életrevaló",1
"250","életszerû",1
"251","életteli",1
"252","életvidám",1
"253","elfogad",1
"254","elfogadás",1
"255","elfogadható",1
"256","elfogulatlan",1
"257","elhivatott",1
"258","elhivatottság",1
"259","elismer",1
"260","elismerés",1
"261","elismerõ",1
"262","elismerõen",1
"263","elismert",1
"264","elízium",1
"265","éljen",1
"266","éljenzés",1
"267","elkapkodják",1
"268","elkápráztat",1
"269","ellazít",1
"270","ellenszer",1
"271","ellentmondásmentes",1
"272","elmés",1
"273","elnyer",1
"274","elnyerte",1
"275","elõítélet-mentes",1
"276","elõmenetel",1
"277","elõmozdít",1
"278","elõny",1
"279","elõnyös",1
"280","elõnyösebb",1
"281","elõnyösen",1
"282","elõrelátás",1
"283","elõrelépés",1
"284","elõrelépést",1
"285","elõremutató",1
"286","elõvigyázatos",1
"287","elõzékeny",1
"288","elõzékenység",1
"289","elragadó",1
"290","elragadóan",1
"291","elragadtatás",1
"292","elragadtatott",1
"293","elragadtatva",1
"294","elrendez",1
"295","elsimít",1
"296","elsõbbség",1
"297","elsõrangú",1
"298","élvez",1
"299","élvezet",1
"300","élvezetes",1
"301","élvezi",1
"302","élveztem",1
"303","élvezve",1
"304","elvhû",1
"305","emberközeli",1
"306","emberséges",1
"307","emberségesség",1
"308","emberszeretõ",1
"309","eminens",1
"310","empátia",1
"311","energia-megtakarítás",1
"312","energiahatékony",1
"313","energiatakarékos",1
"314","energiatudatos",1
"315","energikus",1
"316","engesztelés",1
"317","enyhít",1
"318","enyhül",1
"319","enyhülés",1
"320","ép",1
"321","épelméjû",1
"322","épeszû",1
"323","épkézláb",1
"324","érdekfeszítõ",1
"325","érdem",1
"326","érdemes",1
"327","érdemesség",1
"328","érdemleges",1
"329","eredeti",1
"330","eredetiség",1
"331","eredményes",1
"332","eredményesen",1
"333","erény",1
"334","erényes",1
"335","erkölcsös",1
"336","erõszakmentesség",1
"337","érték",1
"338","értékes",1
"339","értelemszerû",1
"340","értelmes",1
"341","értelmesen",1
"342","értelmezhetõ",1
"343","érthetõ",1
"344","érvényesül",1
"345","érzékkel",1
"346","érzéssel",1
"347","eseménydús",1
"348","eszes",1
"349","eszményi",1
"350","esszenciális",1
"351","ésszerû",1
"352","ésszerûen",1
"353","esztétikus",1
"354","etalon",1
"355","etikus",1
"356","eufória",1
"357","eufórikus",1
"358","eufórikusan",1
"359","évfolyamelsõ",1
"360","evidens",1
"361","exkluzív",1
"362","extázis",1
"363","fain",1
"364","faintos",1
"365","fair",1
"366","fájdalommentes",1
"367","fájdalommentesen",1
"368","fantáziadús",1
"369","fáradhatatlan",1
"370","fáradhatatlanság",1
"371","favorit",1
"372","favorizál",1
"373","feddhetetlen",1
"374","fedezet",1
"375","fegyelmezett",1
"376","fejedelmi",1
"377","fejleszt",1
"378","fejlesztések",1
"379","fejlõdés",1
"380","fejlõdik",1
"381","fejlõdõ",1
"382","felajánl",1
"383","felajánlás",1
"384","felbecsülhetetlen",1
"385","felderül",1
"386","feldíszít",1
"387","felékesít",1
"388","felelõsségteljes",1
"389","felelõsségteljesen",1
"390","felelõsségtudat",1
"391","felfedezés",1
"392","felfejleszt",1
"393","felfogható",1
"394","felfrissült",1
"395","felhasználóbarát",1
"396","felhõtlen",1
"397","felismerhetõ",1
"398","feljogosít",1
"399","felkapott",1
"400","fellelkesül",1
"401","fellelkesülve",1
"402","fellendülés",1
"403","felmagasztal",1
"404","felmagasztalás",1
"405","felmagasztaló",1
"406","felmentheti",1
"407","felmentõcsapat",1
"408","feloldoz",1
"409","feloldozás",1
"410","felpezsdít",1
"411","félreérthetetlen",1
"412","félreérthetetlenül",1
"413","félremagyarázhatatlan",1
"414","felséges",1
"415","felszabadítani",1
"416","felszabadított",1
"417","felszabadulás",1
"418","felszabadult",1
"419","felújított",1
"420","felüdít",1
"421","felvidít",1
"422","felvidul",1
"423","felvilágosodás",1
"424","felvillanyoz",1
"425","felvirágzás",1
"426","felvirágzik",1
"427","fennkölt",1
"428","fenntartható",1
"429","fenntarthatóság",1
"430","fenomenális",1
"431","fenséges",1
"432","fénypont",1
"433","fényûzõ",1
"434","fényûzõen",1
"435","fergeteges",1
"436","fess",1
"437","festõi",1
"438","feszélyezetlen",1
"439","fesztelen",1
"440","fiatalító",1
"441","fiatalos",1
"442","figyelemfelkeltõ",1
"443","figyelmes",1
"444","filantróp",1
"445","fincsi",1
"446","finom",1
"447","finoman",1
"448","finomít",1
"449","finomítani",1
"450","finomítás",1
"451","fitt",1
"452","flottul",1
"453","fontos",1
"454","fordulatos",1
"455","formás",1
"456","forradalmasíthatja",1
"457","forradalmasítja",1
"458","forradalmasító",1
"459","forradalmasította",1
"460","fölékerekedik",1
"461","fölény",1
"462","frankó",1
"463","frappáns",1
"464","friss",1
"465","frisseség",1
"466","frissítõ",1
"467","gáláns",1
"468","garancia",1
"469","gavallér",1
"470","gazdagodás",1
"471","gazdagon",1
"472","gazdagság",1
"473","gazdaságos",1
"474","gondos",1
"475","gondoskodás",1
"476","gondtalan",1
"477","görcsmentes",1
"478","gördülékeny",1
"479","gördülékenyen",1
"480","grátisz",1
"481","gratuláció",1
"482","gratuláló",1
"483","gratulálok",1
"484","gusztusos",1
"485","gyarapodás",1
"486","gyengéd",1
"487","gyengéden",1
"488","gyengédség",1
"489","gyerek-barát",1
"490","gyerekbarát",1
"491","gyermekbarát",1
"492","gyógyír",1
"493","gyógyít",1
"494","gyógyulás",1
"495","gyöngéd",1
"496","gyönyör",1
"497","gyönyörû",1
"498","gyönyörûség",1
"499","gyönyörûséges",1
"500","gyõzelem",1
"501","gyõzhetetlen",1
"502","gyõztes",1
"503","gyümölcsözõ",1
"504","háborítatlan",1
"505","hajlandó",1
"506","hajlandóság",1
"507","hajrá",1
"508","hajszálpontos",1
"509","hála",1
"510","halálmegvetõ",1
"511","halálpontos",1
"512","hálás",1
"513","hálásan",1
"514","halleluja",1
"515","hamisítatlan",1
"516","hamvas",1
"517","hangulatos",1
"518","harmónia",1
"519","harmonikus",1
"520","harmonikusan",1
"521","használható",1
"522","hasznavehetõ",1
"523","hasznos",1
"524","hasznosítható",1
"525","haszon",1
"526","haszonélvezõ",1
"527","hatásos",1
"528","hatékony",1
"529","hatékonyan",1
"530","hatékonyság",1
"531","hazafi",1
"532","hazafias",1
"533","helyes",1
"534","helyesen",1
"535","helyesség",1
"536","helyreállít",1
"537","helyrehoz",1
"538","helyrehozott",1
"539","helyrejön",1
"540","heroikus",1
"541","hiánytalan",1
"542","hibamentes",1
"543","hibátlan",1
"544","hibátlanul",1
"545","hiteles",1
"546","hithû",1
"547","hivatástudat",1
"548","hódolat",1
"549","honorál",1
"550","hozzáértés",1
"551","hozzáértõ",1
"552","hozzáidomul",1
"553","hõscselekedet",1
"554","hõsi",1
"555","hõsies",1
"556","hõsiesen",1
"557","hõsiesség",1
"558","hõstett",1
"559","humánum",1
"560","humánus",1
"561","humor",1
"562","humoros",1
"563","humorosan",1
"564","hurrá",1
"565","hûség",1
"566","hûséges",1
"567","hûségesen",1
"568","hûsít",1
"569","ideál",1
"570","ideális",1
"571","idill",1
"572","idilli",1
"573","idillikus",1
"574","idillisztikus",1
"575","idõtálló",1
"576","igazmondás",1
"577","igazmondó",1
"578","igazol",1
"579","igazolható",1
"580","igazságos",1
"581","igazságosan",1
"582","igényes",1
"583","igyekezet",1
"584","igyekszik",1
"585","igyekvõ",1
"586","ihlet",1
"587","ihletettség",1
"588","illatos",1
"589","illatozó",1
"590","illedelmes",1
"591","illemtudás",1
"592","illemtudó",1
"593","illendõ",1
"594","illõ",1
"595","imád",1
"596","imádat",1
"597","imádattal",1
"598","imádnivaló",1
"599","imádó",1
"600","imádott",1
"601","imponál",1
"602","impozáns",1
"603","innováció",1
"604","innovatív",1
"605","inspiráció",1
"606","inspirál",1
"607","inspiráló",1
"608","intelligencia",1
"609","intelligens",1
"610","ínycsiklandó",1
"611","ínyencfalat",1
"612","iparkodó",1
"613","irányadó",1
"614","irgalmas",1
"615","irgalom",1
"616","iskolázott",1
"617","istenáldása",1
"618","istencsászár",1
"619","isteni",1
"620","istenien",1
"621","istenkirály",1
"622","ízes",1
"623","izgalmas",1
"624","izgi",1
"625","ízléses",1
"626","ízletes",1
"627","járatos",1
"628","járható",1
"629","jártas",1
"630","javul",1
"631","javulás",1
"632","javuló",1
"633","jelentõségteli",1
"634","jelentõségteljes",1
"635","jeles",1
"636","jeleskedik",1
"637","jellemes",1
"638","jó",1
"639","jóakarat",1
"640","jóakaratú",1
"641","jóakaró",1
"642","jóakarói",1
"643","jócselekedet",1
"644","jófejség",1
"645","jófejû",1
"646","jogos",1
"647","jogosan",1
"648","jogosult",1
"649","jogszerû",1
"650","jogszerûen",1
"651","jogtiszta",1
"652","jóhír",1
"653","jóindulat",1
"654","jóindulattal",1
"655","jóindulatú",1
"656","jóindulatúság",1
"657","jókedélyû",1
"658","jókedv",1
"659","jókedvû",1
"660","jóképû",1
"661","jókötésû",1
"662","jól",1
"663","jólelkû",1
"664","jólelkûség",1
"665","jólesett",1
"666","jólét",1
"667","jólnevelt",1
"668","jólneveltség",1
"669","jóminõségû",1
"670","jómód",1
"671","jómodor",1
"672","jómódú",1
"673","jópofa",1
"674","jóravaló",1
"675","jóság",1
"676","jóságos",1
"677","jószándék",1
"678","jószándékú",1
"679","jószerencse",1
"680","jószívû",1
"681","jószívûség",1
"682","jótáll",1
"683","jótállás",1
"684","jótanács",1
"685","jótékony",1
"686","jótékonykodó",1
"687","jótékonysági",1
"688","jótett",1
"689","jótevõ",1
"690","jóvágású",1
"691","jóvátett",1
"692","jövedelmezõ",1
"693","jutalmazás",1
"694","jutalmazó",1
"695","jutalom",1
"696","jutányos",1
"697","kafa",1
"698","kalandos",1
"699","kapós",1
"700","káprázatos",1
"701","karitatív",1
"702","karizma",1
"703","karizmatikus",1
"704","kárpótol",1
"705","kárpótolt",1
"706","kártalanított",1
"707","kasszasiker",1
"708","katarzis",1
"709","kategóriaelsõ",1
"710","kecses",1
"711","kecsesen",1
"712","kedélyes",1
"713","kedvel",1
"714","kedvelt",1
"715","kedvenc",1
"716","kedves",1
"717","kedvesem",1
"718","kedvesen",1
"719","kedveskedés",1
"720","kedveskedõ",1
"721","kedvesség",1
"722","kedvezés",1
"723","kedvezmény",1
"724","kedvezményes",1
"725","kedvezõ",1
"726","kegy",1
"727","kegyelem",1
"728","kegyelmesség",1
"729","kegyes",1
"730","kegyesség",1
"731","kelendõ",1
"732","kellem",1
"733","kellemes",1
"734","kellemesen",1
"735","kellemesség",1
"736","kellemetes",1
"737","kényelem",1
"738","kényelmes",1
"739","kényelmesen",1
"740","kényeztet",1
"741","kényeztetés",1
"742","képzett",1
"743","keresztülvihetõ",1
"744","készség",1
"745","készséges",1
"746","kezelhetõ",1
"747","kibékít",1
"748","kicsattanó",1
"749","kiegyensúlyozott",1
"750","kiegyensúlyozottság",1
"751","kielégülés",1
"752","kiemelkedõ",1
"753","kiemelkedõen",1
"754","kiengesztel",1
"755","kiengesztelt",1
"756","kifinomult",1
"757","kifizetõdõ",1
"758","kifogásolhatatlan",1
"759","kifogástalan",1
"760","kifogástalanul",1
"761","kiforrott",1
"762","kihagyhatatlan",1
"763","kijavít",1
"764","kikapcsolódik",1
"765","kikupál",1
"766","kilábal",1
"767","kimagaslik",1
"768","kimagasló",1
"769","kímél",1
"770","kíméletes",1
"771","kíméletesen",1
"772","kincs",1
"773","kincsem",1
"774","kincsesbánya",1
"775","királyi",1
"776","királyian",1
"777","kircsi",1
"778","kirobbanó",1
"779","kisegít",1
"780","kisimítja",1
"781","kisportolt",1
"782","kiteljesedett",1
"783","kitûnõ",1
"784","kitûnõség",1
"785","kitüntet",1
"786","kitüntetés",1
"787","kitüntetett",1
"788","kiváló",1
"789","kiválóan",1
"790","kiválóság",1
"791","kiváltság",1
"792","kívánatos",1
"793","kivitelezhetõ",1
"794","klafa",1
"795","klassz",1
"796","kockázat-mentes",1
"797","kockázatmentes",1
"798","koherencia",1
"799","koherens",1
"800","kohézió",1
"801","kohéziós",1
"802","kohezív",1
"803","komfort",1
"804","komfortos",1
"805","kompatibilis",1
"806","kompenzáció",1
"807","kompenzál",1
"808","kompenzálás",1
"809","konstruktív",1
"810","konszenzus",1
"811","konszenzuskeresõ",1
"812","konszolidál",1
"813","konzekvens",1
"814","konzisztens",1
"815","korrekt",1
"816","korrektség",1
"817","korrigál",1
"818","korszerû",1
"819","korszerûsítés",1
"820","költséghatékony",1
"821","költségmentes",1
"822","könnyed",1
"823","könnyedén",1
"824","könyörület",1
"825","könyörületes",1
"826","környezetbarát",1
"827","környezettudatos",1
"828","környezetvédõ",1
"829","körülrajong",1
"830","körültekintés",1
"831","körültekintõ",1
"832","körültekintõen",1
"833","köszi",1
"834","köszönet",1
"835","köszönöm",1
"836","kössz",1
"837","kötelességtudó",1
"838","kötetlen",1
"839","követendõ",1
"840","következetes",1
"841","következetesen",1
"842","közbenjár",1
"843","középponti",1
"844","közérthetõ",1
"845","közkedvelt",1
"846","központi",1
"847","közvetlenség",1
"848","kreatív",1
"849","kúl",1
"850","kulcsfontosságú",1
"851","kulcsmomentum",1
"852","kulcsponti",1
"853","kulturált",1
"854","kultúrált",1
"855","kuncog",1
"856","különleges",1
"857","lájk",1
"858","lakályos",1
"859","lakoma",1
"860","lángelme",1
"861","lángész",1
"862","lankadatlan",1
"863","lankadatlanság",1
"864","látványos",1
"865","lebilincsel",1
"866","lecsillapít",1
"867","leelõz",1
"868","lefõz",1
"869","legális",1
"870","legendás",1
"871","legyõz",1
"872","lehagy",1
"873","lehengerlõ",1
"874","lehetõség",1
"875","lekötelezett",1
"876","lélegzetelállító",1
"877","lélegzetelállítóan",1
"878","lélekemelõ",1
"879","lélekmelengetõ",1
"880","lelemény",1
"881","leleményes",1
"882","leleményesség",1
"883","lelkes",1
"884","lelkesedés",1
"885","lelkesedik",1
"886","lelkesen",1
"887","lelkesít",1
"888","lelkesítés",1
"889","lelkesítõ",1
"890","lelkesültség",1
"891","lelkiismeretes",1
"892","lényegbeli",1
"893","lényeges",1
"894","lényegi",1
"895","lényegretörõ",1
"896","lenyûgöz",1
"897","lenyûgözi",1
"898","lenyûgözõ",1
"899","lenyûgözõen",1
"900","lenyûgözött",1
"901","lenyûgözte",1
"902","lepipál",1
"903","létfontosságú",1
"904","letisztult",1
"905","logikus",1
"906","lojális",1
"907","lojalitás",1
"908","lovagias",1
"909","lovagiasság",1
"910","luxus",1
"911","magabiztos",1
"912","magabiztosság",1
"913","magasszintû",1
"914","magasztal",1
"915","magasztalás",1
"916","magasztos",1
"917","makkegészséges",1
"918","makulátlan",1
"919","malaszt",1
"920","manõverezhetõ",1
"921","márkás",1
"922","mázli",1
"923","mázlis",1
"924","mázlista",1
"925","megalapozott",1
"926","megalapozottság",1
"927","megáld",1
"928","megbarátkoztat",1
"929","megbecsül",1
"930","megbecsülés",1
"931","megbecsült",1
"932","megbékélés",1
"933","megbékít",1
"934","megbízható",1
"935","megbízhatóan",1
"936","megbízhatóság",1
"937","megbízik",1
"938","megbocsátás",1
"939","megcsodál",1
"940","megelégedés",1
"941","megérdemelt",1
"942","megérdemelten",1
"943","megéri",1
"944","megerõsít",1
"945","megerõsítésével",1
"946","megerõsítik",1
"947","megerõsítõ",1
"948","megértés",1
"949","megértet",1
"950","megértõ",1
"951","megfelel",1
"952","megfelelõ",1
"953","megfelelõen",1
"954","megfiatalít",1
"955","megfiatalodott",1
"956","megfizethetõ",1
"957","megfontolt",1
"958","meghatározó",1
"959","meghitt",1
"960","meghittség",1
"961","megjavít",1
"962","megjavul",1
"963","megjutalmazott",1
"964","megkapó",1
"965","megkedveltet",1
"966","megkegyelmezés",1
"967","megkönnyebbülés",1
"968","megkönnyít",1
"969","megkönyörül",1
"970","megköszön",1
"971","megközelíthetõ",1
"972","megmenekít",1
"973","megment",1
"974","megmentõ",1
"975","megnemesít",1
"976","megnevettet",1
"977","megnyer",1
"978","megnyerhetõ",1
"979","megnyerõ",1
"980","megnyugtatás",1
"981","megnyugtatni",1
"982","megnyugtató",1
"983","megnyugvás",1
"984","megoldás",1
"985","megoldáscentrikus",1
"986","megoldható",1
"987","megóv",1
"988","megörvendeztet",1
"989","megragadó",1
"990","megreformál",1
"991","megsajnál",1
"992","megsegít",1
"993","megspékel",1
"994","megspórol",1
"995","megszabadít",1
"996","megszán",1
"997","megszentelt",1
"998","megszerettesse",1
"999","megszerez",1
"1000","megszilárdít",1
"1001","megtakarít",1
"1002","megtámadhatatlan",1
"1003","megtérülõ",1
"1004","megtisztel",1
"1005","megtisztelõ",1
"1006","megtiszteltetés",1
"1007","megtisztul",1
"1008","megújít",1
"1009","megújító",1
"1010","megújuló",1
"1011","megújult",1
"1012","megúsz",1
"1013","megvalósít",1
"1014","megvalósítható",1
"1015","megvalósul",1
"1016","megvalósult",1
"1017","megváltás",1
"1018","megváltó",1
"1019","megváltsa",1
"1020","megvéd",1
"1021","megverhetetlen",1
"1022","megvilágít",1
"1023","megvilágosít",1
"1024","megvilágosodás",1
"1025","meggyógyul",1
"1026","meggyõzõ",1
"1027","meggyõzõen",1
"1028","melegszívû",1
"1029","méltán",1
"1030","méltányol",1
"1031","méltányos",1
"1032","méltányosan",1
"1033","méltányosság",1
"1034","méltat",1
"1035","méltatás",1
"1036","méltó",1
"1037","méltóság",1
"1038","méltóságérzet",1
"1039","méltóságteljes",1
"1040","mélytányol",1
"1041","menedék",1
"1042","mentesít",1
"1043","mentor",1
"1044","mentsvár",1
"1045","menny",1
"1046","mennybéli",1
"1047","mennybemenetel",1
"1048","mennyei",1
"1049","mennyország",1
"1050","mértéktartó",1
"1051","mérvadó",1
"1052","mesebeli",1
"1053","meseország",1
"1054","mesés",1
"1055","mesésen",1
"1056","meseszép",1
"1057","messiás",1
"1058","mester",1
"1059","mesterek",1
"1060","mesteri",1
"1061","mesterien",1
"1062","mesterkéletlen",1
"1063","mestermû",1
"1064","mindentudó",1
"1065","minõségi",1
"1066","mintakép",1
"1067","mirákulum",1
"1068","modernizáció",1
"1069","módi",1
"1070","módos",1
"1071","móka",1
"1072","mókás",1
"1073","mókázik",1
"1074","mókázó",1
"1075","mosoly",1
"1076","mosolygó",1
"1077","mosolygós",1
"1078","mosolyog",1
"1079","mosolyogva",1
"1080","motiváció",1
"1081","motivál",1
"1082","motiválás",1
"1083","motivált",1
"1084","mozgalmas",1
"1085","mulat",1
"1086","mulatozás",1
"1087","mulatság",1
"1088","mulatságos",1
"1089","mulatságosan",1
"1090","mulattat",1
"1091","mulattató",1
"1092","munkaképes",1
"1093","muri",1
"1094","muris",1
"1095","mutatós",1
"1096","mûremek",1
"1097","mûvelt",1
"1098","nagylelkû",1
"1099","nagylelkûen",1
"1100","nagylelkûség",1
"1101","nagyrabecsülés",1
"1102","nagyrabecsült",1
"1103","nagyszerû",1
"1104","nagyszerûen",1
"1105","nagyszerûség",1
"1106","nagyvonalú",1
"1107","naprakész",1
"1108","nélkülözhetetlen",1
"1109","nemes",1
"1110","nemesen",1
"1111","nemesít",1
"1112","nemesített",1
"1113","nemeslelkû",1
"1114","nemesül",1
"1115","nemzetvédõ",1
"1116","népszerû",1
"1117","népszerûség",1
"1118","neves",1
"1119","nevet",1
"1120","nevetgél",1
"1121","nevezetes",1
"1122","nimbusz",1
"1123","nívós",1
"1124","nobilis",1
"1125","normális",1
"1126","nyer",1
"1127","nyerés",1
"1128","nyereség",1
"1129","nyereséges",1
"1130","nyertes",1
"1131","nyertesek",1
"1132","nyíltszívû",1
"1133","nyitottan",1
"1134","nyitottság",1
"1135","nyugalmas",1
"1136","nyugalom",1
"1137","nyugis",1
"1138","nyugodt",1
"1139","nyugodtság",1
"1140","nyugtató",1
"1141","nyújt",1
"1142","oázis",1
"1143","odaadás",1
"1144","odaadással",1
"1145","odaadó",1
"1146","odafigyel",1
"1147","odavan",1
"1148","okos",1
"1149","okosan",1
"1150","okosít",1
"1151","okosság",1
"1152","oltalmaz",1
"1153","oltalom",1
"1154","oltári",1
"1155","optimális",1
"1156","optimalizál",1
"1157","optimista",1
"1158","optimizmus",1
"1159","originál",1
"1160","oroszlánszívû",1
"1161","orvosol",1
"1162","orvosolni",1
"1163","orvosság",1
"1164","osztályeslõ",1
"1165","otthonos",1
"1166","óv",1
"1167","ováció",1
"1168","óvatos",1
"1169","óvatosság",1
"1170","ölelés",1
"1171","ölelget",1
"1172","önálló",1
"1173","önbecsülés",1
"1174","önbizalom",1
"1175","önfeláldozás",1
"1176","önfeláldozó",1
"1177","önzetlen",1
"1178","önzetlenség",1
"1179","önzetlenül",1
"1180","õrangyal",1
"1181","örökifjú",1
"1182","öröm",1
"1183","örömittas",1
"1184","örömmámor",1
"1185","örömteli",1
"1186","örömteljes",1
"1187","örömtelt",1
"1188","örömujjongás",1
"1189","örülni",1
"1190","örvend",1
"1191","örvendezik",1
"1192","örvendezõ",1
"1193","õszinte",1
"1194","õszintén",1
"1195","õszinteség",1
"1196","összebékít",1
"1197","összeegyeztethetõ",1
"1198","összefog",1
"1199","összefogás",1
"1200","összefogó",1
"1201","összeforr",1
"1202","összehangol",1
"1203","összehangolása",1
"1204","összeillenek",1
"1205","összepasszol",1
"1206","összetartás",1
"1207","összetartozás",1
"1208","összhang",1
"1209","ösztönöz",1
"1210","ösztönzés",1
"1211","ösztönzése",1
"1212","ötletdús",1
"1213","ötletes",1
"1214","ötletesség",1
"1215","ötletgazdag",1
"1216","pacifista",1
"1217","pallérozott",1
"1218","parádé",1
"1219","parádés",1
"1220","paradicsomi",1
"1221","páratlan",1
"1222","pártatlan",1
"1223","pártatlanság",1
"1224","pártatlanul",1
"1225","pártfogás",1
"1226","pártfogó",1
"1227","pártfogol",1
"1228","patronálás",1
"1229","patronáló",1
"1230","pátyolgat",1
"1231","pazar",1
"1232","pazarul",1
"1233","pedáns",1
"1234","példaértékû",1
"1235","példakép",1
"1236","példamutató",1
"1237","példás",1
"1238","perfekció",1
"1239","perfekt",1
"1240","pesztrál",1
"1241","pezsdít",1
"1242","pihe-puha",1
"1243","pihen",1
"1244","pihenés",1
"1245","pihenõ",1
"1246","pionír",1
"1247","poén",1
"1248","poénkodik",1
"1249","poénos",1
"1250","poétikus",1
"1251","pofonegyszerû",1
"1252","polihisztor",1
"1253","pompa",1
"1254","pompás",1
"1255","pompásan",1
"1256","pompázatos",1
"1257","pontos",1
"1258","populáris",1
"1259","potenciál",1
"1260","pótol",1
"1261","pozitív",1
"1262","pozitívan",1
"1263","pöpec",1
"1264","pörgõs",1
"1265","praktikus",1
